Energy,Average Dose
0.05,0.018955131146040777
0.1,0.038040898
0.15,0.05703411
0.2,0.075901454
0.25,0.094710099
0.3,0.11387039364139742
0.35,0.13284145911476483
0.4,0.1517596278169105
0.45,0.17046014936385104
0.5,0.18694777648513355
0.55,0.20805457835131022
0.6,0.22715290514314734
0.65,0.24587344142523224
0.7,0.2643352344336431
0.75,0.28318989448014165
0.8,0.30157948778368576
0.85,0.32003277707738464
0.9,0.33816821455633533
0.95,0.35555066313082573
1,0.3740493801373996
1.05,0.39233111639733653
1.1,0.409076277
1.15,0.42627415921816997
1.2,0.4421786627801908
1.25,0.4579344015668291
1.3,0.47343311994731707
1.35,0.48920109921268057
1.4,0.5103328336093386
1.45,0.513094796
1.5,0.5255929567940432
1.55,0.5375392385303773
1.6,0.5662792532701526
1.65,0.5472539060307622
1.7,0.564074243
1.75,0.5691676546413055
1.8,0.5721307955042193
1.85,0.570847483
1.9,0.5689786504889199
1.95,0.5582490996359946
2,0.5723473106992656
2.1,0.5255382680687412
2.2,0.5336892661742039
2.3,0.5074228620311866
2.4,0.49843088794371176
2.5,0.4737956141194793
2.6,0.46384850606112416
2.7,0.44167237560430617
2.8,0.42346479311688906
2.9,0.4030171526035223
3,0.3967690323605328
3.1,0.38648533242738853
3.2,0.3772681639259586
3.3,0.35768947275125096
3.4,0.35602423989076387
3.5,0.3583980996301557
3.6,0.3428143625982286
3.7,0.3431383979558531
3.8,0.32464257148030684
3.9,0.3154186914646905
4,0.31480008720000086
4.1,0.30476318390692697
4.2,0.3070257335800577
4.3,0.28299635953523894
4.4,0.28395591693854816
4.5,0.2787514293092792
4.6,0.2761350271024116
4.7,0.2652987889996191
4.8,0.26494653770479104
4.9,0.2679715764852578
5,0.2589491649408533
5.1,0.24647116943636313
5.2,0.24251906536392817
5.3,0.2364278994374356
5.4,0.2402084679264412
5.5,0.2366503764044594
5.6,0.23923080790800394
5.7,0.23624662468830745
5.8,0.23045364998407283
5.9,0.22352043244050068
6,0.22679687535390258
6.1,0.21712662884181597
6.2,0.2179368727382609
6.3,0.21131253921884602
6.4,0.2150324712748881
6.5,0.2075595298807162
6.6,0.20743667987191072
6.7,0.20468074217539042
6.8,0.2073676602386341
6.9,0.20368675203987646
7,0.197068402
7.1,0.18769443812686326
7.2,0.19168450610605556
7.3,0.18710037269146745
7.4,0.19070382652972453
7.5,0.18986949818829696
7.6,0.18613713531191134
7.7,0.18069986475010713
7.8,0.17834885771009434
7.9,0.17621359843257312
8,0.17583151414885698
8.25,0.17720562738674356
8.5,0.173921093
8.75,0.172965882
9,0.172010671
9.25,0.171055461
9.5,0.17010025
9.75,0.169145039
10,0.168189828
