Energy,Average Dose
48.75,0.003289203
49,0.003246484
49.25,0.003296174
49.5,0.003371279
49.75,0.003344546
50,0.003341382
50.5,0.003277665
51,0.003198347
51.5,0.003251071
52,0.003231185
52.5,0.003174372
53,0.003233791
53.5,0.003068969
54,0.003246088
54.5,0.003234815
55,0.003050425
55.5,0.002887113
56,0.002908499
56.5,0.002898852
57,0.002442473
57.5,0.002415637
58,0.002932653
58.5,0.003044011
59,0.003010958
59.5,0.002916464
60,0.002507803
60.5,0.002522099
61,0.00253518
61.5,0.00237488
62,0.002363122
62.5,0.00239538
63,0.002316189
63.5,0.00270677
64,0.002309254
64.5,0.002308048
65,0.002449945
65.5,0.002449397
66,0.002394196
66.5,0.002386996
67,0.002336065
67.5,0.002390585
68,0.002400616
68.5,0.002471788
69,0.002486086
69.5,0.002459806
70,0.002403193
70.5,0.00244417
71,0.00243743
71.5,0.002386429
72,0.002771786
72.5,0.002784919
73,0.00239616
73.5,0.002379439
74,0.002413924
74.5,0.002382856
75,0.002347668
75.5,0.002395414
76,0.002413227
76.5,0.002401759
77,0.002352157
77.5,0.002360093
78,0.002299505
78.5,0.002312278
79,0.002247019
79.5,0.002582111
80,0.00257061
80.5,0.002576271
81,0.002608535
81.5,0.002613136
82,0.002614642
82.5,0.002601986
83,0.002240834
83.5,0.002025125
84,0.002030797
84.5,0.002041794
85,0.001906233
85.5,0.001895239
86,0.001883306
86.5,0.001944125
87,0.00193589
87.5,0.001939104
88,0.001959773
88.5,0.001987711
89,0.002026339
89.5,0.002047057
90,0.002083625
90.5,0.002083769
91,0.002082517
91.5,0.002097942
92,0.00212857
92.5,0.002095114
93,0.002013743
93.5,0.002110501
94,0.002024474
94.5,0.002224902
95,0.00232755
95.5,0.00228135
96,0.002313414
96.5,0.0022038
97,0.002173197
97.5,0.002185571
98,0.001966459
98.5,0.001920758
99,0.001904562
99.5,0.001882093
100,0.001901717
101,0.001859399
102,0.001483795
103,0.001487269
104,0.001431469
105,0.001426435
106,0.00141077
107,0.00128283
108,0.001274184
109,0.00127003
110,0.001369841
111,0.001334159
112,0.001353574
113,0.001404135
114,0.001367364
115,0.001350882
116,0.001343378
117,0.001389581
118,0.001372558
119,0.001363167
120,0.0013501
121,0.001336156
122,0.00132762
123,0.001338617
124,0.001251426
125,0.001263775
126,0.001294798
127,0.001287045
128,0.001252386
129,0.001251865
130,0.001165171
131,0.00119728
132,0.001237215
133,0.001248208
134,0.001221417
135,0.001216003
136,0.001199142
137,0.001169313
138,0.001195797
139,0.001184937
140,0.00115558
141,0.001148592
142,0.001143668
143,0.001131923
144,0.001118084
145,0.001068582
146,0.001067388
147,0.001137897
148,0.001142406
149,0.001123539
150,0.001118652
151,0.001129745
152,0.00112111
153,0.001120518
154,0.001073568
155,0.00104444
156,0.001057876
157,0.001067315
158,0.001053863
159,0.001095884
160,0.001050956
161,0.001045221
162,0.001045926
163,0.001030504
164,0.001058026
165,0.001045895
166,0.001039283
167,0.001024074
168,0.000973936
169,0.000978685
170,0.001001739
171,0.000986858
172,0.001007862
173,0.000989554
174,0.000985455
175,0.000942937
176,0.000961165
177,0.000787152
178,0.000784036
179,0.000784741
180,0.000967172
181,0.000957836
182,0.000969967
183,0.000966402
184,0.000971
185,0.000976301
186,0.000995103
187,0.001070857
188,0.001067395
189,0.001006575
190,0.001036367
191,0.001033114
192,0.001003998
193,0.001019504
194,0.00083222
195,0.00080622
196,0.000806392
197,0.000832009
198,0.000834465
199,0.000835319
200,0.000803664
