Particle_Number,Dose
0,0.0002944449525136
1,0.0002980913685387
2,0.0003014906702674
3,0.0002738970445361
4,0.0002358239418186
5,0.0001605109115748
6,1.14041629137e-05
7,0.0001367250790505
8,8.2196519361e-05
9,0.0002459809454839
10,3.15659457105e-05
11,6.50168581575e-05
12,6.5802244253e-05
13,0.0002257467541028
14,0.0003348308905733
15,0.0001411757382336
16,9.62409724836e-05
17,0.0002205385638993
18,0.0001464667831103
19,0.00012485009694
20,0.0004214550242188
21,0.0003198962593352
22,6.66071219619e-05
23,0.0002903329088405
24,0.0001955625821527
25,0.0003442219972187
26,0.0001314702725346
27,0.00022042512872
28,4.63017875498e-05
29,0.0008173068050147
30,0.0003043651652578
31,0.0001245566572574
32,0.0011505255437363
33,0.0003355930582201
34,0.0002741651465815
35,0.0002510587049557
36,0.0001554325956267
37,0.000222536505332
38,5.16750873043e-05
39,0.0003912111691518
40,0.000124970547113
41,0.000295324401865
42,0.0003920289818596
43,9.37520037211e-05
44,0.0003059624198333
45,2.6853164661e-06
46,0.000262676833393
47,0.0003256236850835
48,6.66523799678e-05
49,0.0002723803193129
50,0.0003063432667913
51,0.000453418187862
52,0.0003154288732316
53,0.0001458185872934
54,6.69725474587e-05
55,0.0001721864383537
56,0.0001410938309763
57,9.62778657286e-05
58,0.0003594305869503
59,0.000205194283369
60,0.0003120545066008
61,0.0002370170608127
62,0.0001894863978638
63,0.000171819612155
64,0.0001775357388047
65,0.0009592714835217
66,3.30868085196e-05
67,0.0002195161405715
68,0.0001912094652123
69,7.73173649957e-05
70,0.0002345845393225
71,0.0003165243285212
72,0.0002767624645786
73,0.0002878636067052
74,0.0002390780265368
75,9.78590122855e-05
76,7.763957644e-05
77,0.0001124247393775
78,0.0003074760896538
79,0.000116877349557
80,1.49380263142e-05
81,0.0003705543612878
82,0.0004158520562256
83,0.0002539262656679
84,0.0001816145033958
85,0.0003303563942444
86,0.0002141430326801
87,0.0001126981505197
88,1.30343914503e-05
89,0.0003157947635103
90,0.0003430724309051
91,0.000292895246937
92,0.0004692305014721
93,0.0002970664393188
94,7.99696444334e-05
95,0.0004491199164213
96,0.0002640011450509
97,0.0003123697520473
98,0.0001811939032293
99,0.0002297578236299
100,0.0001600867290092
101,0.0002395847932873
102,0.0002075593437173
103,0.0002744305961937
104,0.0004504246129736
105,0.0006282969750213
106,0.0002856296299573
107,0.0001504295500202
108,3.6047650909e-05
109,0.0002390120033128
110,3.8708748372e-06
111,0.000205454048157
112,0.0001590025595066
113,0.0002508210030026
114,3.15755464532e-05
115,0.0002260437562566
116,0.0003089643894273
117,0.0002012568605755
118,0.0006345618007408
119,0.0003037608065471
120,4.49968143026e-05
121,8.0562394896e-05
122,0.0001158245824633
123,0.0003074505674902
124,0.000163709629992
125,5.98089259884e-05
126,0.000289476994155
127,0.000247675038184
128,0.0001630675977832
129,0.0001826008188959
130,0.000202168185872
131,2.79636858359e-05
132,0.0002387207815888
133,0.0003862244135245
134,0.0002095083089217
135,4.70600520526e-05
136,0.000324090427391
137,0.0002474868533921
138,0.0001996079750193
139,4.7440686289e-05
140,2.6828055242e-06
141,0.0002201858508582
142,0.0011117345949282
143,0.0002488717551308
144,6.15871159614e-05
145,0.0003610411074176
146,0.0011409438218254
147,0.000220465265561
148,0.0012154826954126
149,4.12739683522e-05
150,0.0004384731361002
151,0.0001046114101967
152,9.32621634856e-05
153,0.0002935240117769
154,0.0011582510209896
155,0.000732919944914
156,0.0004014775714692
157,0.0002852523117105
158,0.0003801258129926
159,0.0003548173625225
160,0.0002163131571777
161,0.000321245473852
162,0.0002516759649539
163,2.80459671742e-05
164,0.0005878475781175
165,0.0002319963695116
166,0.0005864820210846
167,0.0001468192881066
168,0.0002493734059183
169,0.0001390502707392
170,0.0003203786696026
171,2.0779052429e-06
172,2.59075762426e-05
173,0.0002175788324279
174,0.0002388576804118
175,5.86279935098e-05
176,4.48398034735e-05
177,5.6717030949e-05
178,7.5817684252e-05
179,1.3192262351e-05
180,0.0002889307750337
181,0.0001529988102425
182,0.0002303088965356
183,0.0001463211193934
184,7.10659532078e-05
185,0.0002078158979559
186,0.0010296376104093
187,0.0002570684678744
188,5.8388410417e-06
189,8.74188371569e-05
190,0.0002264640653619
191,0.0001766376721774
192,0.0002068779633386
193,0.0002325003490359
194,0.0004032387216259
195,0.0001639381532372
196,0.0010985697122233
197,0.0002407512914162
198,0.0003333536447952
199,0.0002356251543356
200,0.0004110098442397
