Particle_Number,Dose
0,0.0003227720372305
1,8.24559146204e-05
2,0.0006837674992876
3,0.0001956272661221
4,0.0060982962294614
5,0.0002167565034666
6,0.0003068191452668
7,0.0002763220304431
8,0.0004182487429848
9,0.0004125171697569
10,0.0002045958186912
11,0.0003476471671817
12,2.87284852551e-05
13,0.0003749872865419
14,0.0003940228479285
15,5.20450199114e-05
16,0.000335737252607
17,0.0006533258476588
18,0.0003417531255574
19,0.0001766007583816
20,1.09819267316e-05
21,0.0006521999287681
22,0.0004649094073511
23,0.000151807976622
24,0.0003104276298793
25,0.0001298271489073
26,0.0059747874916896
27,0.0005331742902399
28,0.0007260312992686
29,0.0002811624874157
30,0.0003069429869883
31,0.0002850749623092
32,0.0008229706334884
33,0.0005360907953766
34,0.0004301547122567
35,5.50707300379e-05
36,0.000359775783219
37,0.0001827712238715
38,0.0001631810224142
39,9.4687354156e-05
40,0.0004135563833018
41,0.0003062933013581
42,7.55740373235e-05
43,0.0005005356111691
44,0.0001314160365092
45,0.0003711505851883
46,0.0002959286479833
47,0.0003063267746224
48,0.0005082478646224
49,0.0004895084528445
50,0.0001792782380772
51,0.0006279165970177
52,4.160944966e-06
53,0.0012047598394909
54,0.0002107196052336
55,0.0002464710113747
56,0.0002342337315984
57,9.04379211095e-05
58,0.0002354084611777
59,0.0003108992986038
60,0.0004039614398328
61,0.0004369647708713
62,0.0001035273800667
63,0.0003066238498432
64,0.0002761896786046
65,0.000163059392204
66,0.0004070015044406
67,0.0002887320096875
68,0.0001148781425985
69,0.0003340563507431
70,0.0003718605793522
71,0.0001432111257218
72,0.0003095708220254
73,7.67413458178e-05
74,0.0003930162031364
75,0.000354965207937
76,0.0004177603268581
77,2.1585572441e-05
78,0.0003654398293119
79,0.0002136297962769
80,8.73288026598e-05
81,0.0001894601975496
82,0.0002343824593978
83,2.96647103765e-05
84,6.52797122233e-05
85,0.0003027274228846
86,0.0003780614184119
87,0.0003831433516953
88,0.0009493398138474
89,0.0004452514721246
90,0.0005254499775992
91,4.28171682546e-05
92,0.0004159499227402
93,0.0003619958562066
94,0.0002785184799126
95,0.0001438266288346
96,0.0003297234452464
97,0.0003287727638324
98,0.0012277194557887
99,0.0003527945340361
100,0.0001691139809992
101,0.000253695011397
102,0.0003653966217607
103,8.1536674986e-05
104,0.0001277719012489
105,7.92746059954e-05
106,0.0004989874726944
107,0.0003062933013581
108,7.0849307136e-06
109,5.44975872334e-05
110,0.0003522427445062
111,0.0001686923193085
112,4.1873862078e-06
113,0.0002886646827808
114,0.0002236409649539
115,0.0002724986703917
116,0.0003788435587425
117,0.000862560376104
118,0.0011688787824104
119,1.09135064398e-05
120,3.32539739205e-05
121,0.0003612366792563
122,0.0001198992042902
123,0.0002768069016946
124,0.0001246139913696
125,0.0003569083599492
126,0.0003916753484498
127,0.0003366539324722
128,0.0001981895005183
129,0.0003109529910909
130,0.0003854066008167
131,0.0003040557012263
132,0.0004674568892985
133,0.0060108853642321
134,0.0002189062844522
135,0.0004332137761879
136,0.0003036887120769
137,0.000430435945214
138,0.0003986476742538
139,0.0003224730601196
140,0.0003004475024172
141,0.0002185834590179
142,0.0011695292287966
143,0.0004689576940806
144,0.0002797245770996
145,0.0005085568473982
146,0.0004677801007003
147,0.0002749249231194
148,0.0004807264040066
149,0.0006129601339158
150,0.0006517586902839
151,0.0002662208734313
152,0.0001766076051856
153,0.0002758728770449
154,0.0003898173959574
155,0.0001181691446154
156,1.47016756896e-05
157,0.0002941461574316
158,0.0002046517123462
159,0.0004530302022984
160,0.0006391111216639
161,0.0002144514127647
162,0.0004159653821215
163,0.0001883800188771
164,0.0004016339252603
165,0.0002503712684015
166,0.0002953661824484
167,0.0060692733877861
168,0.0004613110314369
169,5.28053559159e-05
170,0.000313024090132
171,0.0003226619076552
172,0.0005008146179437
173,0.0001688352212277
174,5.69779759129e-05
175,0.0003129492883203
176,0.000523682364524
177,0.0002958787938891
178,0.0001400114374584
179,0.0002420197060945
180,7.55498726231e-05
181,0.0002730762547375
182,0.0004416442899043
183,0.0004126046743279
184,0.0004370076504566
185,0.0004251180643935
186,5.49026789308e-05
187,0.0003656619394054
188,0.0001470104196557
189,0.0003454630061989
190,0.0002648807571872
191,0.0002478818754021
192,0.0004041724424008
193,0.0004367438963547
194,0.000555226360528
195,0.0001647918434774
196,0.0005131824887828
197,0.0003859885791623
198,0.0002444259602051
199,0.0001933396728084
200,0.0004916461772248
