Particle_Number,Dose
0,0.0024167734875106
1,0.0010179219678981
2,0.0036433480055085
3,0.0017169159986703
4,0.0058853986608414
5,0.0022215749073986
6,0.0028845471412289
7,0.002907426878146
8,0.0009207734257764
9,0.0008371967708234
10,0.0018958267926678
11,0.0042575709943964
12,0.0035666904264412
13,0.0031946541124513
14,0.0020525957830753
15,0.001154287482192
16,0.0034251555750783
17,0.0014394949092981
18,0.0065669599677082
19,0.0054908325576977
20,0.0010316231835881
21,0.0013454997008262
22,0.0023806261658277
23,0.001469731156805
24,0.0031044550764555
25,0.0040198727799411
26,0.0006833681023838
27,0.0027428144933042
28,0.0013135631636432
29,0.0015551108034951
30,0.0036889134865609
31,0.0012676401272675
32,0.0031267109934466
33,0.0046384434894102
34,0.003504586109792
35,0.0025031040792098
36,0.0009335160888973
37,0.0013854850365656
38,0.0017131616677747
39,0.0020476508690283
40,0.0014681792145502
41,0.0039153068667489
42,0.0023152696172476
43,0.0022906325339538
44,0.0015302683160793
45,0.0016409164735492
46,0.0024369639519422
47,0.0015807787111786
48,0.0054943320353309
49,0.0022549036280748
50,0.0013027338018805
51,0.0026152281033336
52,0.0043042433754392
53,0.0008737092553898
54,0.0040333381612688
55,0.0042680313894956
56,0.0016049897711083
57,0.0024175228321777
58,0.0032359099107227
59,0.0004530492211985
60,0.0020208798651343
61,0.0017935545588374
62,0.0021022579352265
63,0.0041142826004368
64,0.0052615026593218
65,0.0041528529300028
66,0.0042241357678791
67,0.0116902332605185
68,0.0015054486513439
69,0.0035676261563301
70,0.0015680056178174
71,0.0032888813515053
72,0.0022177140706619
73,0.0006698494681356
74,0.0007290286779371
75,0.0029189561354354
76,0.0017635123041124
77,0.0030122019992401
78,0.0036868518377813
79,0.0034244404644315
80,0.0005066178554468
81,0.0038420460632538
82,0.0010355981337259
83,0.0024994752730553
84,0.0022734166255104
85,0.001214467086143
86,0.0032499800930762
87,0.0016214221008642
88,0.0041409851362902
89,0.0019900578355019
90,0.0016486267356824
91,0.0042032149776806
92,0.0016507834789628
93,0.0024480595783075
94,0.0009585982144553
95,0.0039792103713553
96,0.0025138877956121
97,0.0021289072181593
98,0.0041273295659606
99,0.0014258659654288
100,0.0012038088944819
101,0.0065548639471934
102,0.0035122202963244
103,0.0041450551809288
104,0.0009381072514008
105,0.0036649534761135
106,0.0023289556178174
107,0.0044583345047013
108,0.0046008241048532
109,0.0033092886313989
110,0.0040643770063633
111,0.0016070362047677
112,0.0042661294994776
113,0.0028271442967043
114,0.0037257036470699
115,0.0053212220058884
116,0.0037037748551619
117,0.0042331507265647
118,0.004599644933042
119,0.0041248190711368
120,0.0013604029110076
121,0.0040575682400987
122,0.0042533868363567
123,0.0048564381232785
124,0.0046393944344192
125,0.0040913077690189
126,0.0026969371022889
127,0.002817939149017
128,0.0032085531247032
129,0.0012233603238674
130,0.0022042639044543
131,0.0027750363139899
132,0.0003860570472029
133,0.0039299514198879
134,0.0023439120809193
135,0.0046162294139994
136,0.0045357414284357
137,0.002731308058695
138,0.0016083751353404
139,0.003121476992117
140,0.0019944892392439
141,0.0027750172950897
142,0.0020476736917086
143,0.0045818812802735
144,0.0034360610124418
145,0.0043716083198784
146,0.0020110090559407
147,0.001840618729224
148,0.0026270502516858
149,0.0019338607892487
150,0.0033946530629689
151,0.0024745795327191
152,0.0039442155950232
153,0.0036651550764555
154,0.0009767802830278
155,0.0021926129262038
156,0.0027725410342862
157,0.0026538897236204
158,0.002594292098015
159,0.0015268905594073
160,0.0033321797796561
161,0.0006754296134485
162,0.0028317316554278
163,0.0017828088802355
164,0.0027740853689809
165,0.0017754409583056
166,0.0027255681546205
167,0.0015268449140469
168,0.0027079452417133
169,0.003712534960585
170,0.0006591798651343
171,0.0037297318501282
172,0.0036926297796561
173,0.0058305861905214
174,0.0020482366511539
175,0.0023987625890397
176,0.0042132569569759
177,0.0043344453889258
178,0.0022902635672903
179,0.003517549392155
180,0.0033705028635198
181,0.0028043025975876
182,0.000391340497673
183,0.002497440250736
184,0.0017797810713268
185,0.0009731590844334
186,0.002885608395859
187,0.0023052961059929
188,0.0025046408063443
189,0.0039764336119289
190,0.0042502296989267
191,0.0023647377766169
192,0.0051958113780985
193,0.0014181366843954
194,0.0023271145882799
195,0.0034785340203248
196,0.0048465482951847
197,0.0036979512679266
198,0.0020161365514293
199,0.0045567763320353
200,0.0019571285117295
