Particle_Number,Dose
0,0.0030864670006648
1,0.0009164158438865
2,0.0013784214170386
3,0.0002928825795254
4,0.0012385906591319
5,0.0008680660172476
6,0.0028742084670908
7,0.001002417760471
8,5.29346133204e-05
9,0.0013148296877355
10,0.0010029502896761
11,0.0014423071271672
12,0.0005206309810998
13,0.0011701948903029
14,0.0010974095593123
15,0.0016514415329091
16,0.0009082856159179
17,0.0001052449570327
18,0.0008665543451419
19,0.0003090624532244
20,0.0005593914996675
21,0.0007453430905119
22,0.0002152047356814
23,0.0010022884319498
24,0.0004649921367193
25,0.0015130553592188
26,0.0003108920714217
27,0.0011753452084718
28,0.0002318567494538
29,0.0009693952218681
30,0.0008924727890879
31,0.0012935139324112
32,0.0001330102586794
33,0.0007862910998403
34,0.0001791044706521
35,0.0009863315746984
36,0.0005397239057228
37,0.0031424091936556
38,0.0006107828839146
39,0.0007329808053946
40,0.002888556325387
41,0.0021890639994301
42,0.0008308939073036
43,0.0012095982476968
44,0.0015875266169626
45,0.0008388362000189
46,0.0006167286613934
47,0.0019156292715357
48,0.0030735759901225
49,0.0009921466562187
50,0.0008820038265253
51,9.0672521629e-06
52,0.0007923540079779
53,0.0011898223952892
54,0.0013083025619186
55,0.0004778917086143
56,0.0012111281322311
57,0.0009777160129167
58,0.0001324884712605
59,0.0007700937865255
60,0.0021273514721246
61,0.0015955640041789
62,0.000966053623326
63,0.0012318465571279
64,0.0008830779656187
65,0.0004764006268401
66,0.000812708034951
67,0.0001845956630629
68,0.0005609348823499
69,0.0013478808671288
70,0.0014149347547366
71,0.0001053569647924
72,0.0011253483236774
73,0.000669685905594
74,0.0007469140516668
75,0.0009908999145217
76,0.0010419542501662
77,0.0015129750699102
78,0.0005792624465761
79,0.0010001354924494
80,0.0010565037088042
81,0.0011490686959825
82,0.0011313925301548
83,0.0007605924446766
84,0.0028866354164688
85,0.0002512361203682
86,0.0016630544733592
87,0.0016716966616012
88,0.0005579872772495
89,0.0006232683778136
90,0.0002968947736471
91,0.000806169337069
92,0.0005721151438883
93,0.0013408346596941
94,0.0006984475845026
95,0.000559600676828
96,0.0007646054326146
97,0.0021176023838921
98,0.0007984704862759
99,0.0009835053661316
100,0.0013362722455911
101,0.0008640590654383
102,0.0029495575458258
103,0.0008562727277044
104,0.0004109438032263
105,0.0011340399610599
106,0.0009002101909013
107,0.0002781204649367
108,0.0008945425586475
109,0.0008219445619449
110,0.0001821656666463
111,0.0011541353309905
112,0.0012774805062209
113,0.0008543099772058
114,0.0029140036138284
115,0.0012694248512098
116,0.0010263054990977
117,0.001514630976351
118,0.000723113799981
119,0.0009866224375653
120,0.000551643199734
121,0.0031632919460537
122,0.0007905510162408
123,0.001333740961295
124,0.0008038908728274
125,0.0015017872493221
126,0.0006700854435455
127,0.0009055164640516
128,0.0010551305442112
129,0.0009661069194666
130,0.0012342657612308
131,0.0012749167584765
132,0.0009852306711331
133,0.0011309018425301
134,0.0006717513581536
135,0.000810098444025
136,0.0012433910295374
137,0.0011665990008082
138,0.0007824679836641
139,0.001006107427106
140,0.000851291850198
141,3.88532079685e-05
142,0.0001173994866559
143,0.0012024319261088
144,0.0018270316269351
145,0.0023481304729793
146,0.0004462822965143
147,0.0013215206714787
148,0.0028852318216354
149,0.0007793640991547
150,0.0008593817054651
151,0.0017037701348656
152,0.0012003587897407
153,0.0004930079754589
154,0.0007464842245227
155,0.0012436192563396
156,0.0011403922737202
157,0.0011085318121379
158,0.0007091425159084
159,0.001258735478203
160,0.0010593108984708
161,0.0008656984946338
162,0.0002164455616198
163,0.0009996942539652
164,0.0009079090416943
165,0.0028957644885554
166,0.0013087022724256
167,0.0009177390242304
168,0.0007437455028967
169,0.0011366721768449
170,0.0014933336119289
171,0.0016587371830183
172,0.0011901913619527
173,0.0011371286304492
174,0.0005252525738436
175,5.68568634928e-05
176,0.00097912721531
177,0.0002130507520688
178,0.0008220120809193
179,0.0011559231076075
180,0.0007486105375629
181,0.0003655794214447
182,0.0019510120334314
183,0.0007997333412479
184,0.0013946407351125
185,0.000147821025394
186,0.0008967449472884
187,6.3936419371e-05
188,0.0012469703865514
189,0.0021434947145977
190,0.0009584232405736
191,0.001460647161151
192,0.0008180561496818
193,0.001439803015481
194,0.0014075024544075
195,0.0012628854022224
196,0.0014656546457849
197,0.001171822077216
198,0.000451978699185
199,0.0010995548912527
200,1.6254350381e-05
