Particle_Number,Dose
0,0.000168137088487
1,0.001041210897889
2,0.0028387724522746
3,0.0015725815652008
4,0.0010160238816601
5,0.0006350182543451
6,0.0004886424758542
7,0.0010084452430057
8,0.0007334220438788
9,0.0015494545825814
10,0.0013374340721795
11,0.0001959060404658
12,0.0018723080207047
13,0.00089164027448
14,0.0007310751115965
15,0.0017703476968373
16,0.0006078474995527
17,0.0001336981230258
18,0.002279479850888
19,0.001076405085953
20,0.0009608348371165
21,0.0011144612240475
22,0.0010953479105328
23,0.0005251384604425
24,0.0010868844999525
25,0.0003313082552413
26,0.0028663384461962
27,0.0008152946053756
28,0.001141154562678
29,0.0029893450850033
30,0.0005721493779086
31,0.0004580039316681
32,0.0010982958400607
33,0.0011798184537942
34,0.0001787320453017
35,0.001231755266407
36,0.0008789280415993
37,0.0032100556178174
38,0.0002659926211742
39,0.0028916944439168
40,0.002610842344952
41,7.02427776525e-05
42,0.0012032451592272
43,0.0002277926116597
44,0.0006140784452464
45,0.0010168188716877
46,0.0031762552284167
47,0.0005347658277139
48,0.0011186955123943
49,0.0013121063158894
50,0.000870259263247
51,0.0003758039180687
52,0.0017934404454364
53,0.0010540008215405
54,0.0012362399230696
55,0.001095694054516
56,0.0008139746937031
57,0.0030568089277234
58,0.0017516445103998
59,0.0002328809451848
60,0.0005183862720208
61,0.0008250094595878
62,0.0008126053328901
63,0.0005261216408228
64,0.000740504682306
65,0.0008559608177414
66,0.0013793870665276
67,0.0002734229820205
68,0.0003911256844607
69,0.0008397453034476
70,0.0032334222385791
71,0.0005204344551237
72,0.0002614819735867
73,0.0011036553661316
74,0.0008665543451419
75,0.0008080141703865
76,0.0013871472884414
77,0.0013490795613775
78,6.58302098142e-05
79,0.0008839452274669
80,0.00103460036507
81,0.0026209756149681
82,0.0013189496677592
83,0.0021878163595783
84,0.0004669691991003
85,0.0011964819181094
86,0.0008668053946243
87,0.0013832217874442
88,0.0010786626306366
89,0.0008722143698356
90,0.0014233412946297
91,0.0012507931854877
92,0.0007449703200683
93,0.0006437479295279
94,0.0006022432378408
95,0.0003559602718929
96,0.0011591918520607
97,0.0013364799640709
98,0.0017050025595973
99,0.0003374913206674
100,0.0001554960732138
101,0.0002961330245037
102,0.0012262093551144
103,0.00103813905879
104,0.001427881444425
105,0.0010366784072561
106,0.0010246736774622
107,0.0012486244976012
108,0.0009353989600151
109,0.0014698119804988
110,0.0006952701301168
111,0.001082304748789
112,0.0015346502706809
113,0.0007549134010827
114,0.0004758833127552
115,0.000192066152207
116,0.0004427679301599
117,0.0004269743090511
118,0.0012116751115965
119,0.0010095194177984
120,0.0010858688906828
121,0.0004493921415559
122,0.0013227683113306
123,0.0005040864971905
124,0.0014822516201881
125,0.0008655615585525
126,0.0015967431759901
127,0.0016204140991547
128,0.0004133891235625
129,0.0016742718206857
130,0.000512956956701
131,0.0032238595355684
132,0.0011581231854765
133,0.0006662747777267
134,0.0008305401557602
135,0.0006577534476208
136,0.0010104399325671
137,4.55791653171e-05
138,0.0011735650394149
139,0.0031612417086143
140,0.000603084141215
141,0.0008362990787349
142,0.0030676306819261
143,0.0008424505757683
144,0.0010413684680406
145,0.0008388932567195
146,0.0009857068735168
147,0.0013695167679741
148,0.000724699976256
149,0.0008024454364137
150,0.0011421149845145
151,0.0010485690236489
152,0.0008185430335264
153,0.0010363018330325
154,0.0011057323914089
155,0.0003885485231266
156,0.0006577800740811
157,0.0004443714746495
158,0.0011301791243232
159,0.0002806120269588
160,0.0007606571089372
161,0.0016340164165637
162,0.0010021467045235
163,0.0004738406828758
164,0.001339364203628
165,0.0008412842009346
166,0.000984920372305
167,0.0004471672621513
168,0.0003100057800553
169,0.000602963799981
170,0.0013250467755722
171,0.0006484722243327
172,0.0032403375106847
173,0.0013112732880615
174,0.0007385176160924
175,0.0008533552284167
176,0.0001335781372462
177,0.0017121574698451
178,0.001268747027258
179,0.000200465904423
180,0.0012184812901159
181,0.0009846693228226
182,0.0011007426760591
183,0.0010661234685155
184,0.0011581559264887
185,0.0004481271298318
186,0.0011299585050812
187,0.0012199102953746
188,0.0006915282186469
189,0.0005086300550859
190,0.0008459150346661
191,0.0011766222250232
192,0.0016168157232405
193,0.0008396616202868
194,0.0011703736679646
195,0.0001068322513929
196,0.0004225809431095
197,0.0008206617390065
198,0.0014693816806043
199,0.0005091359144417
200,0.000429697815557
