Particle_Number,Dose
0,0.0002103227163777
1,0.0001425436203213
2,0.0001078635026784
3,0.0001635970928732
4,0.0002134264827986
5,0.0003665580290351
6,6.66167191465e-05
7,0.0003889289011302
8,4.07213511971e-05
9,0.0002302711324384
10,4.33470456437e-05
11,4.28515861111e-05
12,0.0001403386525373
13,0.0002766303244675
14,0.0001404103342039
15,0.0003003390913073
16,0.0002726240993555
17,0.0003873084908348
18,2.85500105928e-05
19,0.0003048077872032
20,0.0001178166245251
21,0.0003982177319783
22,3.34166147993e-05
23,0.0001703294011525
24,0.000284762680446
25,0.0001492251152687
26,0.0002709963649965
27,0.0002010888664393
28,0.0001327395030277
29,0.0002105215186266
30,0.0002731714394472
31,0.0002047642294393
32,0.0001506693902265
33,4.29104025654e-05
34,0.0003642483135358
35,7.19908865232e-05
36,0.0003043240126962
37,0.0003293546126847
38,0.0001175405906727
39,0.0003405294308057
40,7.55724326046e-05
41,0.0003710669968052
42,0.0001724473725369
43,0.0001883637942612
44,0.0003883012774242
45,0.0003880388166017
46,0.0003287950669038
47,0.0003866314179884
48,0.000366061464763
49,0.0001483703549155
50,0.000289541556156
51,0.0001358700533665
52,0.0003652738003966
53,0.0002395440068209
54,0.0002495660639339
55,5.12638880805e-05
56,0.000122601745315
57,0.0002133859580623
58,0.0001644557098329
59,0.0003096358287787
60,0.0003842540554658
61,0.0003151969837473
62,0.0003017598804768
63,0.0002582732267386
64,7.01101567542e-05
65,0.0003610102302916
66,0.0003099599190881
67,0.0001731411622477
68,0.0001528525342785
69,0.0001437023194912
70,0.0003619215018489
71,0.0002221829830415
72,0.0001936520115547
73,0.0002083289577918
74,0.0002773163099978
75,0.0003697198837814
76,0.0002356409620698
77,0.0001503817493525
78,0.0002140497758895
79,0.0002662858407543
80,6.66770540377e-05
81,0.0002659336736632
82,0.0002452314639708
83,7.50036523644e-05
84,0.0003157878762911
85,3.01424224679e-05
86,0.000199249239306
87,0.000370145811456
88,9.03400703403e-05
89,0.0002976741717323
90,0.0001830153523424
91,0.000202925922418
92,1.11480370793e-05
93,1.77032776046e-05
94,0.00017601277516
95,0.0001893010815101
96,0.0003984916041409
97,0.00018353838859
98,0.0003582897526443
99,0.0001235544310543
100,2.96365585105e-05
101,0.0002371568100908
102,0.0001867426774129
103,0.0003870003846519
104,0.0002316822542135
105,0.0001922088749998
106,0.0002505612083762
107,6.21429414784e-05
108,0.0003607522383193
109,0.000189501801944
110,0.0003349569210832
111,0.0002728167363345
112,3.6774537924e-06
113,0.0001966238883169
114,0.0002135794758175
115,0.0003540209364686
116,0.0002807631368683
117,0.0002272734795039
118,2.07434903626e-05
119,1.39209582789e-05
120,8.11460921008e-05
121,0.0002365338631058
122,0.0001428057805617
123,0.0003423839643028
124,0.0002210189785833
125,0.0002302870594211
126,0.0002899148707832
127,0.0001744033024321
128,0.000317886570075
129,0.0001405112973715
130,8.73896408949e-05
131,0.0003269737652301
132,0.0002166475759494
133,0.0003212911473292
134,3.41081680644e-05
135,0.0003686013199666
136,0.000156139833028
137,0.0003171627094232
138,8.17644260824e-05
139,5.85039124466e-05
140,0.0001401033784236
141,0.0003435298409558
142,0.0001034767145714
143,0.0002527190979222
144,0.0003836796846804
145,0.0002376275131912
146,0.0003052179838368
147,0.0002431781226238
148,0.000181006315577
149,2.4407327065e-06
150,0.0003663426652913
151,0.0003905112736252
152,0.0003894233925349
153,0.0002332814801675
154,0.0003191064861312
155,0.0002632622351142
156,0.0002832426878054
157,0.0001999547572729
158,0.0002400702582783
159,0.000282346495929
160,5.52589815474e-05
161,0.0002949377682161
162,0.0002694832874221
163,0.0002456528706152
164,0.000210002050239
165,0.0002086942221286
166,5.82266267536e-05
167,0.0001282451580929
168,0.000368183948377
169,0.000102433579932
170,0.0003454536285955
171,9.23912993379e-05
172,0.0003627978266953
173,0.0001499397359097
174,2.3451403865e-06
175,0.000264387147363
176,0.0003637942844314
177,0.0002393803343499
178,0.0003434031749501
179,7.95216210838e-05
180,0.0002224294110839
181,0.000361763818363
182,0.0002068290461366
183,7.89990160339e-05
184,0.0003920556083198
185,0.000190706747554
186,9.3951061096e-05
187,0.000319593970165
188,6.80602562035e-05
189,0.0001107583106478
190,0.00038048070567
191,0.0003847409393104
192,1.54808482589e-05
193,0.000127103351097
194,0.0001424880397766
195,0.0002401139580606
196,3.9952507031e-06
197,2.7651772339e-06
198,4.90377868241e-05
199,0.000114585566612
200,9.34049383513e-05
