Particle_Number,Dose
0,0.0030737167299838
1,0.0051557195365181
2,0.0020640831987843
3,0.0020071786494443
4,0.0018550730933611
5,0.0025989022794187
6,0.0023437637334979
7,0.0025608492639376
8,0.0025425036328236
9,0.0025420738056795
10,0.0027591669436793
11,0.002223727846899
12,0.0024205924826669
13,0.0033693959635293
14,0.0028677572561496
15,0.0012828970889923
16,0.0024618368695982
17,0.0030989205765029
18,0.0020281070472029
19,0.0014007077642701
20,0.0006818800071777
21,0.0032868691518662
22,0.0016519778658941
23,0.0025232869360812
24,0.0013323555159422
25,0.002194008913477
26,0.0021576067385316
27,0.0019342221483521
28,0.0013185841532909
29,0.0023035996200968
30,0.0014603358201158
31,0.0017900388329744
32,0.0042280916991167
33,0.0019356942112261
34,0.0026307855636812
35,0.0033966500474878
36,0.0026427902934751
37,0.0029633576597967
38,0.0025751704957735
39,0.0026166278943869
40,0.0031367073273815
41,0.0026040678127077
42,0.0019354850033241
43,0.0025192552014775
44,0.0028410471127362
45,0.0048489446766074
46,1.12378998875e-05
47,0.0019960297701586
48,0.0024321065248361
49,0.0027861661743755
50,0.0045023062019185
51,0.0021833202915756
52,0.0024271616107892
53,0.0031919420172855
54,0.0027974443821825
55,0.0024835032006838
56,0.0010998591936556
57,0.002793492254725
58,0.0022377561876721
59,0.0046454804824769
60,0.0042724818121379
61,0.0018122044923544
62,0.0014909486418463
63,0.0040728974736442
64,0.00222909878431
65,0.0016511296229461
66,0.0018294051856776
67,0.0025520397093741
68,0.0010445218016905
69,0.0027320079542216
70,0.0011298710181403
71,0.0012783477680691
72,0.0017990548247696
73,0.0023194842055275
74,0.0026558182400987
75,0.0027974748124228
76,0.0030166257954221
77,0.0012842664498052
78,0.0033312326384272
79,0.0016121066435558
80,0.0033795368411055
81,0.001063548309431
82,0.0024402618292335
83,0.0041696656377623
84,0.0012814364374584
85,0.0015014737012061
86,0.0027344081394244
87,0.0025980654478108
88,0.0022873270491024
89,0.0020784386646405
90,0.0014793509165162
91,0.0022713968183113
92,0.002484583474214
93,0.0025171818691233
94,0.0012177497483141
95,0.0021439245417418
96,0.0003926642131256
97,0.0029932401557602
98,0.0020021634253136
99,0.0008786465618767
100,0.0015569632443726
101,0.0027519930145312
102,0.0021585843100009
103,0.002895619944914
104,0.0017823067812707
105,0.0010574432424731
106,0.0014443523134218
107,0.0009348131778896
108,0.0019784182685915
109,0.0026728287444201
110,0.0010313238106545
111,0.0017934176227561
112,0.0025227506030962
113,0.0009133902887263
114,0.0019910468183113
115,0.0034443494491404
116,0.0022109053043973
117,0.0009398379713173
118,0.0044445267831702
119,0.0024751158657042
120,0.0016572194747839
121,0.004881466995916
122,0.0030886960157659
123,0.0014514616012916
124,0.0021851917513534
125,0.0028121003466616
126,0.0008425372779941
127,0.0013142668629499
128,0.0017391681118814
129,0.0040523570614493
130,0.000988716544781
131,0.0027472725235065
132,0.0022817316886693
133,0.002334608034951
134,0.0020463119384556
135,0.0026786333127552
136,0.0030785665495298
137,0.0022480530202298
138,0.0023193586807863
139,0.0005303001899515
140,0.0017307845806819
141,0.0023809266644505
142,0.002647735207522
143,0.0024682690616392
144,0.000904504658562
145,0.000495993897806
146,0.0026692836214265
147,0.0031049990170006
148,0.0008482771820685
149,0.0025971106990217
150,0.0024808785924589
151,0.0023277346044258
152,0.0023529764887453
153,0.002367487909583
154,0.0015120139756862
155,0.0018540803067717
156,0.0016300148399658
157,0.0031964494966283
158,0.0020141928198309
159,0.0019680301453129
160,0.0022991644125747
161,0.0009265551714312
162,0.001074609701776
163,0.0016533700493874
164,0.0007553432282268
165,0.0031626414996675
166,0.0030391555845759
167,0.0020240598252445
168,0.0027473524028872
169,0.0020373996818311
170,0.00099914650964
171,0.0023598042739101
172,0.002474781133061
173,0.0016053397188716
174,0.0026256961059929
175,0.0012341326289296
176,0.0027529819973406
177,0.0015774427960869
178,0.0022592779751163
179,0.001883726968373
180,0.0020650417513534
181,0.0025527472124608
182,0.0012312569712223
183,0.0017581489742615
184,0.0015957656045208
185,0.0009636039889828
186,0.0015655445721341
187,0.0015884585430715
188,0.0046923050147212
189,0.0020139303590084
190,0.0016663295279703
191,0.0018010480055085
192,0.000968895047013
193,0.0027396155142938
194,0.0026569441589894
195,0.0023045201348656
196,0.0020744979485231
197,0.0022657558125178
198,0.0021066132633678
199,0.0030040809288631
200,0.0024600072514008
